player_id,player_name,team_name,Ball Receipt*,Ball Recovery,Block,Carry,Clearance,Dispossessed,Dribble,Dribbled Past,Duel,Error,Foul Committed,Foul Won,Goal Keeper,Interception,Miscontrol,Own Goal Against,Pass,Player Off,Player On,Pressure,Shot,Offside,Shield,Bad Behaviour,50/50
2941,Ismaïla Sarr,Senegal,100,8,0,82,4,4,9,1,3,0.0,4,6,0,1,5,0.0,71,0.0,0.0,71,3,0.0,0.0,0.0,0.0
2948,Nabil Fekir,France,59,9,2,53,1,3,9,2,5,0.0,3,7,0,0,2,0.0,40,0.0,0.0,32,4,0.0,0.0,0.0,0.0
2954,Youri Tielemans,Belgium,110,7,0,118,1,2,2,10,7,0.0,5,4,0,2,0,0.0,114,0.0,0.0,80,4,0.0,0.0,0.0,0.0
2974,Saîf-Eddine Khaoui,Tunisia,40,5,1,30,0,2,2,0,1,0.0,2,3,0,0,2,0.0,37,2.0,2.0,31,2,0.0,0.0,0.0,0.0
2995,Ángel Fabián Di María Hernández,Argentina,118,8,1,86,0,4,8,3,2,0.0,1,7,0,0,5,0.0,88,0.0,0.0,27,4,0.0,0.0,0.0,0.0
2999,Presnel Kimpembe,France,57,7,1,62,4,0,0,0,3,0.0,1,2,0,1,0,0.0,76,0.0,0.0,5,0,0.0,0.0,0.0,0.0
3009,Kylian Mbappé Lottin,France,255,23,4,225,0,15,52,0,9,0.0,1,15,0,4,14,0.0,173,1.0,1.0,99,8,0.0,0.0,2.0,1.0
3027,Mathias Jattah-Njie Jørgensen,Denmark,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0.0,2,0.0,0.0,0,0,0.0,0.0,0.0,0.0
3027,Mathias Jørgensen Jatta,Denmark,78,8,5,84,7,0,0,2,3,0.0,4,3,0,2,0,0.0,98,0.0,0.0,22,1,0.0,0.0,0.0,0.0
3034,Kamil Glik,Poland,71,3,3,68,3,0,0,2,2,0.0,3,1,0,0,0,0.0,78,0.0,0.0,6,1,0.0,0.0,0.0,0.0
3037,Mousa Sidi Yaya Dembélé,Belgium,99,9,6,97,3,2,1,5,7,0.0,7,2,0,2,2,0.0,110,0.0,0.0,62,0,0.0,0.0,0.0,0.0
3043,Christian Dannemann Eriksen,Denmark,191,22,7,157,1,7,8,6,0,0.0,1,3,0,4,9,0.0,184,0.0,0.0,95,12,0.0,0.0,0.0,1.0
3054,Fernando Luiz Roza,Brazil,84,11,4,82,2,1,1,5,3,1.0,4,3,0,5,1,1.0,125,1.0,1.0,41,3,0.0,0.0,0.0,0.0
3058,Javier Hernández Balcázar,Mexico,127,8,2,78,3,2,10,4,4,0.0,2,8,0,2,4,0.0,67,0.0,0.0,30,6,2.0,0.0,0.0,0.0
3063,Danilo Luiz da Silva,Brazil,43,6,0,46,1,0,1,3,2,0.0,0,1,0,0,0,0.0,57,0.0,0.0,19,0,0.0,0.0,0.0,0.0
3064,David Josué Jiménez Silva,Spain,225,6,5,167,2,1,7,3,3,0.0,3,0,0,3,3,0.0,213,0.0,0.0,76,10,0.0,0.0,0.0,0.0
3077,Jan Vertonghen,Belgium,270,22,8,255,17,2,2,7,15,0.0,6,3,0,5,0,0.0,352,0.0,0.0,110,2,0.0,0.0,1.0,0.0
3083,Heung-Min Son,South Korea,132,9,3,100,4,7,17,3,2,0.0,3,5,0,1,7,0.0,79,0.0,0.0,67,14,0.0,0.0,0.0,1.0
3089,Kevin De Bruyne,Belgium,337,33,6,294,5,12,11,8,9,0.0,5,4,0,6,8,0.0,350,0.0,0.0,153,12,0.0,1.0,0.0,2.0
3090,Nicolás Hernán Otamendi,Argentina,235,19,6,235,11,1,1,6,15,0.0,3,4,0,5,0,0.0,296,0.0,0.0,34,6,0.0,0.0,2.0,0.0
3094,Bamidele Alli,England,173,20,17,124,4,3,6,6,5,0.0,4,11,0,3,7,0.0,158,1.0,1.0,142,6,1.0,0.0,0.0,1.0
3099,Hugo Lloris,France,53,24,0,75,2,0,1,0,0,1.0,0,0,77,0,0,0.0,138,0.0,0.0,0,0,0.0,0.0,0.0,0.0
3101,Vincent Kompany,Belgium,246,8,6,216,23,0,0,5,7,0.0,8,1,0,1,0,0.0,277,0.0,0.0,23,6,0.0,0.0,0.0,0.0
3145,Keita Baldé Diao,Senegal,21,5,1,15,1,0,0,0,3,0.0,2,3,0,2,3,0.0,14,0.0,0.0,32,1,0.0,0.0,0.0,1.0
3167,Antonio Rüdiger,Germany,72,5,2,73,2,1,0,0,3,0.0,2,2,0,0,0,0.0,86,0.0,0.0,12,0,0.0,0.0,0.0,0.0
3168,João Filipe Iria Santos Moutinho,Portugal,70,3,7,52,3,0,1,6,13,0.0,8,4,0,0,0,0.0,86,0.0,0.0,57,0,0.0,0.0,0.0,0.0
3175,Eiji Kawashima,Japan,42,16,0,47,0,0,0,0,0,0.0,1,0,70,0,0,0.0,89,0.0,0.0,0,0,0.0,0.0,0.0,0.0
3176,Thomas Meunier,Belgium,199,20,4,187,5,2,6,5,7,0.0,10,1,0,8,3,0.0,236,0.0,0.0,115,6,0.0,1.0,0.0,0.0
3186,Julian Draxler,Germany,89,3,0,79,0,2,7,1,5,0.0,4,1,0,0,1,0.0,81,0.0,0.0,18,6,0.0,0.0,0.0,0.0
3193,Bernardo Mota Veiga de Carvalho e Silva,Portugal,141,15,3,125,1,6,10,4,7,0.0,3,4,0,4,7,0.0,132,0.0,0.0,80,2,0.0,0.0,0.0,1.0
3196,Wahbi Khazri,Tunisia,135,6,2,70,0,1,3,1,5,0.0,2,5,0,1,9,0.0,81,2.0,2.0,82,12,0.0,0.0,0.0,0.0
3202,Gabriel Fernando de Jesus,Brazil,165,13,9,106,4,4,17,5,12,0.0,8,4,0,6,12,0.0,95,1.0,1.0,132,10,3.0,0.0,0.0,1.0
3205,Kyle Walker,England,313,29,7,312,27,2,7,0,7,0.0,3,5,0,3,2,0.0,385,1.0,1.0,36,0,0.0,0.0,1.0,0.0
3226,Bassem Srarfi,Tunisia,2,0,0,1,0,0,0,0,0,0.0,0,1,0,0,0,0.0,0,0.0,0.0,2,0,0.0,0.0,0.0,0.0
3233,Raheem Sterling,England,250,9,6,173,0,6,23,1,1,0.0,12,8,0,0,16,0.0,135,0.0,0.0,82,11,0.0,0.0,0.0,2.0
3237,Sergio Leonel Agüero del Castillo,Argentina,108,6,2,56,0,6,2,2,4,0.0,0,3,0,1,2,0.0,63,0.0,0.0,36,6,0.0,0.0,0.0,1.0
3240,Mathew Ryan,Australia,63,20,0,77,0,0,0,0,0,0.0,0,0,30,0,0,0.0,111,0.0,0.0,1,0,0.0,0.0,0.0,0.0
3244,John Stones,England,414,22,13,400,25,0,0,8,12,0.0,4,3,0,5,2,0.0,479,0.0,0.0,48,6,0.0,1.0,0.0,0.0
3245,Thomas Lemar,France,60,2,2,55,0,1,4,2,1,0.0,1,1,0,0,1,0.0,54,0.0,0.0,10,1,0.0,0.0,0.0,0.0
3252,Oussama Haddadi,Tunisia,25,3,2,25,0,0,1,0,1,0.0,2,0,0,1,0,0.0,42,0.0,0.0,13,0,1.0,0.0,0.0,0.0
3254,Florian Thauvin,France,1,0,0,1,0,0,0,0,1,0.0,0,0,0,0,0,0.0,1,0.0,0.0,2,0,0.0,0.0,0.0,0.0
3261,Benjamin Mendy,France,31,3,2,31,0,0,0,1,0,0.0,0,0,0,0,1,0.0,35,0.0,0.0,3,0,0.0,0.0,0.0,0.0
3262,Łukasz Fabiański,Poland,14,1,0,17,0,0,0,0,0,0.0,0,0,14,0,0,0.0,25,0.0,0.0,0,0,0.0,0.0,0.0,0.0
3279,José Heriberto Izquierdo Mena,Colombia,39,4,0,31,0,0,4,2,2,0.0,1,0,0,0,3,0.0,25,0.0,0.0,26,0,0.0,0.0,0.0,0.0
3281,Aaron Mooy,Australia,159,19,6,136,7,2,1,5,6,0.0,4,1,0,3,1,0.0,206,0.0,0.0,49,3,0.0,0.0,0.0,0.0
3289,Romelu Lukaku Menama,Belgium,223,4,0,93,1,3,10,1,4,0.0,10,4,0,0,16,0.0,98,1.0,1.0,62,14,0.0,0.0,0.0,0.0
3293,Jesse Lingard,England,297,23,7,217,2,5,11,4,6,0.0,7,7,0,1,19,0.0,228,0.0,0.0,161,16,0.0,0.0,0.0,0.0
3295,Thiago Emiliano da Silva,Brazil,235,24,7,241,20,1,0,1,7,1.0,2,3,0,8,0,0.0,289,0.0,0.0,17,6,0.0,0.0,0.0,0.0
3296,Marouane Fellaini-Bakkioui,Belgium,157,11,10,116,6,1,3,2,24,0.0,12,8,0,3,5,0.0,140,0.0,0.0,122,5,1.0,0.0,0.0,0.0
3300,Maya Yoshida,Japan,229,11,11,224,30,1,0,0,6,0.0,5,2,0,6,0,0.0,290,0.0,0.0,26,2,0.0,0.0,0.0,0.0
3302,Nordin Amrabat,Morocco,116,15,7,100,2,10,11,3,5,0.0,11,8,0,2,6,0.0,90,1.0,1.0,53,1,0.0,0.0,0.0,0.0
3308,Kieran Trippier,England,274,19,19,236,9,3,8,8,12,0.0,5,8,0,5,3,0.0,393,1.0,1.0,140,4,0.0,0.0,0.0,0.0
3314,Phil Jones,England,124,5,2,129,3,0,0,1,3,0.0,2,2,0,4,1,0.0,145,0.0,0.0,26,0,0.0,0.0,0.0,0.0
3318,Marcus Rashford,England,131,12,4,106,0,3,16,4,2,0.0,5,7,0,0,9,0.0,89,0.0,0.0,55,6,0.0,0.0,0.0,0.0
3329,Cédric Ricardo Alves Soares,Portugal,105,15,9,110,6,2,2,3,12,0.0,6,2,0,1,1,0.0,161,0.0,0.0,48,0,0.0,0.0,0.0,1.0
3333,David de Gea Quintana,Spain,34,13,0,42,0,0,0,0,0,0.0,0,0,40,0,0,0.0,67,0.0,0.0,0,0,0.0,0.0,0.0,0.0
3336,Harry Maguire,England,363,25,11,335,14,2,5,2,11,0.0,7,5,0,6,3,0.0,434,0.0,0.0,37,11,0.0,1.0,2.0,0.0
3338,Onyinye Wilfred Ndidi,Nigeria,129,23,7,107,3,0,3,8,13,0.0,5,6,0,4,4,0.0,171,0.0,0.0,97,3,0.0,0.0,0.0,0.0
3381,Nemanja Matić,Serbia,107,32,7,120,4,4,4,3,14,0.0,7,3,0,3,3,0.0,136,0.0,0.0,73,3,0.0,0.0,0.0,0.0
3404,Youssouf Sabaly,Senegal,69,17,5,80,2,0,7,1,8,0.0,8,1,0,3,1,0.0,118,1.0,1.0,46,2,0.0,0.0,0.0,0.0
3436,Idrissa Gana Gueye,Senegal,105,9,9,98,3,1,1,3,8,0.0,5,3,0,3,2,0.0,145,0.0,0.0,78,2,0.0,0.0,0.0,0.0
3444,Danijel Subašić,Croatia,91,38,0,114,0,0,0,0,0,0.0,0,2,98,0,0,0.0,170,0.0,0.0,0,0,0.0,0.0,0.0,0.0
3445,Radamel Falcao García Zárate,Colombia,234,10,2,106,4,11,6,1,13,0.0,7,10,0,0,20,0.0,106,0.0,0.0,112,9,0.0,0.0,1.0,0.0
3446,Djibril Sidibé,France,81,5,1,81,0,1,0,2,1,0.0,1,0,0,0,1,0.0,99,0.0,0.0,8,0,0.0,0.0,0.0,0.0
3455,Luka Milivojević,Serbia,60,8,5,58,0,0,1,5,5,0.0,2,4,0,1,2,0.0,74,1.0,1.0,37,0,0.0,0.0,0.0,0.0
3457,Michy Batshuayi Tunga,Belgium,55,5,1,31,0,1,5,0,3,0.0,0,0,0,0,1,0.0,27,0.0,0.0,36,8,0.0,0.0,0.0,0.0
3468,Jordan Pickford,England,129,40,0,151,0,0,0,0,0,0.0,0,3,94,0,0,0.0,226,0.0,0.0,0,0,0.0,0.0,0.0,0.0
3471,Dejan Lovren,Croatia,274,19,17,253,35,1,0,5,7,1.0,7,6,0,2,2,0.0,372,0.0,0.0,34,6,0.0,0.0,0.0,1.0
3472,Willian Borges da Silva,Brazil,206,13,9,193,1,7,15,5,7,0.0,5,10,0,3,5,0.0,197,0.0,0.0,86,5,0.0,0.0,0.0,1.0
3494,Davinson Sánchez Mina,Colombia,154,22,7,159,15,0,0,2,18,1.0,2,1,0,7,0,0.0,209,0.0,0.0,36,2,0.0,0.0,0.0,0.0
3496,Mesut Özil,Germany,165,8,0,167,0,4,10,2,0,0.0,0,2,0,1,2,0.0,173,0.0,0.0,22,2,0.0,0.0,0.0,0.0
3500,Granit Xhaka,Switzerland,299,27,5,282,5,2,3,11,8,0.0,7,4,0,3,4,0.0,347,0.0,0.0,58,4,0.0,0.0,0.0,0.0
3501,Philippe Coutinho Correia,Brazil,349,23,6,313,0,10,10,10,7,0.0,5,8,0,4,9,0.0,325,0.0,0.0,97,23,1.0,0.0,1.0,0.0
3504,Ruben Loftus-Cheek,England,153,7,3,151,0,7,15,2,4,0.0,2,5,0,3,6,0.0,129,0.0,0.0,71,3,0.0,0.0,0.0,1.0
3509,Thibaut Courtois,Belgium,96,44,0,129,2,0,0,0,0,0.0,0,0,121,0,0,0.0,192,0.0,0.0,0,0,0.0,0.0,0.0,0.0
3530,Hiroki Sakai,Japan,152,8,2,126,12,0,4,3,14,0.0,2,4,0,4,4,0.0,193,0.0,0.0,58,2,0.0,0.0,0.0,0.0
3531,Mohamed Salah,Egypt,86,9,2,53,0,6,11,2,4,0.0,1,1,0,1,4,0.0,41,0.0,0.0,36,6,0.0,0.0,0.0,0.0
3532,Jordan Brian Henderson,England,245,22,8,216,4,3,1,10,12,0.0,4,3,0,3,1,0.0,302,0.0,0.0,151,5,0.0,1.0,1.0,0.0
3533,Xherdan Shaqiri,Switzerland,236,23,5,200,0,4,14,1,5,0.0,4,9,0,3,7,0.0,197,0.0,0.0,61,12,0.0,0.0,1.0,0.0
3535,Roberto Firmino Barbosa de Oliveira,Brazil,68,5,5,48,0,5,5,0,7,0.0,2,1,0,1,2,0.0,41,0.0,0.0,41,6,0.0,0.0,0.0,0.0
3536,Ramadan Sobhi Ramadan Ahmed,Egypt,33,3,0,23,0,3,0,0,2,0.0,1,1,0,0,1,0.0,26,0.0,0.0,13,0,0.0,0.0,0.0,0.0
3543,Steve Mandanda,France,12,9,0,17,0,0,0,0,0,0.0,0,0,7,0,0,0.0,25,0.0,0.0,0,0,0.0,0.0,0.0,0.0
3555,Pape Moussa Konaté,Senegal,7,1,0,3,0,0,0,0,2,0.0,0,0,0,0,2,0.0,6,0.0,0.0,11,0,0.0,0.0,0.0,0.0
3557,Naïm Sliti,Tunisia,97,5,2,76,1,5,12,1,3,0.0,1,3,0,2,4,0.0,63,0.0,0.0,58,6,0.0,0.0,0.0,0.0
3568,Mohamed Naser Elsayed Elneny,Egypt,102,9,4,90,3,3,1,0,1,0.0,4,0,0,3,0,0.0,111,0.0,0.0,69,3,0.0,0.0,0.0,1.0
3569,Daniel Nii Tackie Mensah Welbeck,England,2,2,0,2,0,0,0,0,0,0.0,0,0,0,0,0,0.0,1,0.0,0.0,4,2,0.0,0.0,0.0,0.0
3576,Martin Olsson,Sweden,14,3,0,12,0,1,0,0,0,0.0,1,1,0,0,2,0.0,13,0.0,0.0,16,0,0.0,0.0,0.0,0.0
3594,Danny Rose,England,92,10,2,87,2,4,7,4,8,0.0,2,7,0,2,3,0.0,106,0.0,0.0,32,1,0.0,1.0,0.0,0.0
3602,Faustino Marcos Alberto Rojo,Argentina,127,10,2,123,7,0,1,2,5,0.0,3,1,0,8,0,0.0,162,0.0,0.0,18,2,0.0,0.0,0.0,0.0
3603,Mame Biram Diouf,Senegal,30,3,1,9,0,0,0,0,3,0.0,3,0,0,0,3,0.0,9,0.0,0.0,25,2,0.0,0.0,0.0,0.0
3604,Olivier Giroud,France,258,12,4,105,8,8,5,7,14,0.0,15,6,0,2,22,0.0,132,1.0,1.0,135,15,0.0,0.0,1.0,0.0
3605,Sung-Yeung Ki,South Korea,59,13,5,64,4,1,2,2,6,0.0,5,3,0,1,0,0.0,85,0.0,0.0,45,3,0.0,0.0,0.0,1.0
3612,Ashley Young,England,170,15,7,157,2,5,3,4,8,0.0,4,3,0,1,2,0.0,244,0.0,0.0,63,2,0.0,0.0,0.0,0.0
3621,Eden Hazard,Belgium,363,23,7,322,1,13,42,3,6,0.0,7,32,0,6,10,0.0,271,0.0,0.0,99,18,0.0,0.0,0.0,0.0
3629,Sadio Mané,Senegal,150,13,7,99,0,10,10,0,2,0.0,7,7,0,3,12,0.0,93,0.0,0.0,51,3,1.0,0.0,0.0,0.0
3632,André Martín Carrillo Díaz,Peru,136,17,4,118,0,6,18,4,5,0.0,3,4,0,2,8,0.0,106,0.0,0.0,58,3,0.0,0.0,0.0,0.0
3637,Grzegorz Krychowiak,Poland,148,17,3,142,3,3,1,3,9,2.0,4,8,0,5,3,0.0,180,0.0,0.0,45,2,0.0,0.0,0.0,0.0
3645,Gary Cahill,England,36,2,4,37,0,0,0,1,0,0.0,1,0,0,0,0,0.0,44,0.0,0.0,13,0,0.0,0.0,0.0,0.0
3647,Alex Iwobi,Nigeria,28,5,1,23,1,0,2,1,0,0.0,1,0,0,0,2,0.0,24,0.0,0.0,9,4,0.0,0.0,0.0,0.0
3659,Wilfredo Daniel Caballero,Argentina,32,10,0,40,0,0,0,0,0,1.0,0,0,26,0,0,0.0,51,0.0,0.0,2,0,0.0,0.0,0.0,0.0
3664,Trent Alexander-Arnold,England,53,5,1,51,0,1,2,1,0,0.0,0,0,0,2,2,0.0,66,0.0,0.0,8,1,0.0,1.0,0.0,0.0
3684,Cheikhou Kouyaté,Senegal,27,7,1,26,0,1,2,1,4,0.0,1,0,0,1,0,0.0,42,0.0,0.0,32,0,0.0,0.0,0.0,0.0
3702,Victor Nilsson Lindelöf,Sweden,66,9,4,72,20,0,1,1,3,0.0,2,0,0,2,1,0.0,109,0.0,0.0,25,0,0.0,0.0,0.0,0.0
3707,Adrien Sebastian Perruchet Silva,Portugal,144,14,5,131,0,3,1,5,4,0.0,3,1,0,1,0,0.0,160,0.0,0.0,46,2,0.0,0.0,0.0,0.0
3708,Kelechi Promise Iheanacho,Nigeria,94,2,2,42,0,6,4,2,4,0.0,0,2,0,0,4,0.0,43,0.0,0.0,36,3,0.0,0.0,0.0,0.0
3720,Johann Berg Guðmunds­son,Iceland,43,11,1,48,1,2,3,0,1,0.0,0,1,0,6,2,0.0,51,1.0,1.0,33,3,0.0,0.0,0.0,0.0
3767,Ellyes Joris Skhiri,Tunisia,146,11,5,132,0,3,4,5,9,0.0,7,0,0,4,1,0.0,166,0.0,0.0,101,0,0.0,0.0,0.0,0.0
3810,Shinji Okazaki,Japan,38,4,2,23,0,5,3,0,2,0.0,1,2,0,1,2,0.0,18,0.0,0.0,15,1,0.0,0.0,0.0,1.0
3815,Kasper Schmeichel,Denmark,50,18,0,64,0,0,0,1,0,0.0,0,0,74,0,0,0.0,122,0.0,0.0,0,0,0.0,0.0,0.0,0.0
3831,Dušan Tadić,Serbia,111,12,7,87,1,3,9,5,9,0.0,3,4,0,2,8,0.0,87,0.0,0.0,120,3,0.0,0.0,0.0,1.0
3878,Sam Morsy,Egypt,19,5,1,21,0,1,0,0,2,0.0,2,0,0,2,0,0.0,24,0.0,0.0,8,0,0.0,0.0,0.0,0.0
3944,Gylfi Þór Sigurðsson,Iceland,104,18,5,103,0,10,12,7,8,0.0,6,5,0,5,4,0.0,109,0.0,0.0,128,10,0.0,0.0,0.0,1.0
3959,Andreas Christensen,Denmark,130,12,5,132,14,2,1,2,5,0.0,2,3,0,6,1,0.0,166,0.0,0.0,40,0,0.0,0.0,0.0,1.0
3960,José Miguel da Rocha Fonte,Portugal,119,19,9,126,17,0,0,4,7,0.0,3,4,0,5,1,0.0,177,1.0,1.0,33,4,0.0,0.0,0.0,0.0
3961,N''Golo Kanté,France,12,3,1,13,0,2,0,2,1,0.0,3,0,0,1,1,0.0,11,0.0,0.0,19,0,0.0,0.0,0.0,0.0
3961,N'Golo Kanté,France,272,35,15,293,5,5,8,8,16,0.0,9,5,0,21,2,0.0,342,0.0,0.0,164,1,0.0,0.0,0.0,2.0
3962,Diafra Sakho,Senegal,3,0,0,0,0,0,0,0,1,0.0,0,0,0,0,1,0.0,2,0.0,0.0,3,0,0.0,0.0,0.0,0.0
3963,Victor Moses,Nigeria,113,18,7,97,7,8,6,0,7,0.0,4,8,0,4,5,0.0,120,0.0,0.0,45,7,0.0,0.0,0.0,0.0
4063,Ahmed Elsayed Ali Elsayed Hegazy,Egypt,90,9,7,92,20,2,0,0,6,0.0,2,1,0,6,0,0.0,125,0.0,0.0,20,0,0.0,1.0,0.0,0.0
4269,Aleksandar Mitrović,Serbia,163,2,1,59,4,7,3,0,15,0.0,6,8,0,0,8,0.0,63,0.0,0.0,92,16,1.0,0.0,2.0,0.0
4272,João Mário Naval da Costa Eduardo,Portugal,183,16,4,141,0,6,6,3,8,0.0,5,3,0,1,3,0.0,165,0.0,0.0,54,1,0.0,0.0,0.0,0.0
4276,David Ospina Ramírez,Colombia,35,24,0,51,0,0,0,0,0,0.0,0,3,62,0,0,0.0,97,0.0,0.0,0,0,0.0,0.0,0.0,0.0
4277,Papa Alioune N'Diaye,Senegal,19,4,0,17,0,0,1,0,0,0.0,1,0,0,2,0,0.0,22,0.0,0.0,18,1,0.0,0.0,0.0,0.0
4319,Edinson Roberto Cavani Gómez,Uruguay,149,13,4,90,2,5,11,4,6,0.0,5,4,0,2,11,0.0,83,1.0,1.0,80,16,0.0,0.0,0.0,1.0
4320,Neymar da Silva Santos Junior,Brazil,386,25,2,346,0,23,43,1,9,0.0,4,27,0,0,25,0.0,283,1.0,1.0,72,27,2.0,0.0,1.0,0.0
4367,Gonçalo Manuel Ganchinho Guedes,Portugal,111,6,3,70,1,7,2,5,6,0.0,3,7,0,0,5,0.0,62,0.0,0.0,43,6,0.0,0.0,0.0,0.0
4372,Marcos Aoás Corrêa,Brazil,2,0,0,2,0,0,0,0,0,0.0,0,0,0,0,0,0.0,3,0.0,0.0,1,0,0.0,0.0,0.0,0.0
4375,Blaise Matuidi,France,127,20,3,102,1,5,2,8,18,0.0,10,5,0,7,5,0.0,122,0.0,0.0,145,5,0.0,0.0,1.0,0.0
4417,Ola Toivonen,Sweden,177,6,7,59,4,2,5,2,17,0.0,7,12,0,0,5,0.0,102,0.0,0.0,134,5,0.0,0.0,0.0,0.0
4447,Martin Braithwaite Christensen,Denmark,91,9,7,59,2,2,3,0,6,0.0,6,1,0,0,10,0.0,54,0.0,0.0,39,4,0.0,0.0,0.0,0.0
4597,Fabian Delph,England,151,15,1,151,1,2,8,5,7,0.0,1,3,0,3,0,0.0,152,0.0,0.0,71,3,0.0,0.0,0.0,0.0
4626,Jan Bednarek,Poland,129,11,4,123,12,0,1,0,1,0.0,2,2,0,5,0,0.0,170,1.0,1.0,10,1,0.0,0.0,0.0,0.0
4685,Artur Jędrzejczyk,Poland,37,1,1,31,2,1,1,1,4,0.0,2,0,0,0,0,0.0,53,0.0,0.0,11,1,0.0,0.0,0.0,0.0
4709,Pontus Jansson,Sweden,48,3,0,42,2,0,0,0,5,0.0,2,0,0,0,1,0.0,59,0.0,0.0,3,1,0.0,0.0,0.0,0.0
4763,Henrik Dalsgaard,Denmark,116,13,7,105,11,0,1,3,15,0.0,8,1,0,7,1,0.0,197,0.0,0.0,38,1,0.0,2.0,0.0,0.0
4826,Yohan Benalouane,Tunisia,10,2,1,13,1,0,0,2,2,0.0,3,1,0,2,0,0.0,16,0.0,0.0,12,0,0.0,0.0,0.0,0.0
4831,Nacer Chadli,Belgium,165,16,8,149,8,3,10,3,5,0.0,2,2,0,2,6,0.0,192,1.0,1.0,86,3,0.0,0.0,0.0,0.0
4926,Francisco Román Alarcón Suárez,Spain,506,14,5,459,0,7,41,3,5,0.0,1,20,0,1,9,0.0,475,0.0,0.0,79,10,0.0,0.0,0.0,0.0
5170,Mário Figueira Fernandes,Russia,173,25,13,139,13,0,5,1,17,0.0,3,6,0,6,8,0.0,260,0.0,0.0,81,2,0.0,3.0,0.0,1.0
5171,Roman Zobnin,Russia,158,38,17,158,4,5,9,14,12,0.0,12,12,0,14,8,0.0,204,0.0,0.0,129,7,0.0,0.0,0.0,0.0
5172,Igor Akinfeev,Russia,51,15,0,47,0,0,0,0,0,0.0,0,0,94,0,0,0.0,114,0.0,0.0,0,0,0.0,0.0,0.0,0.0
5173,Abdullah Ibrahim Otayf,Saudi Arabia,227,15,2,219,1,2,4,6,4,0.0,3,7,0,9,4,0.0,257,0.0,0.0,43,2,0.0,0.0,0.0,0.0
5174,Sergei Ignashevich,Russia,88,7,7,77,45,0,0,2,9,1.0,2,3,0,1,0,1.0,160,0.0,0.0,25,5,0.0,0.0,0.0,0.0
5175,Ilya Kutepov,Russia,113,12,12,92,31,1,0,0,7,0.0,5,2,0,10,2,0.0,165,0.0,0.0,24,1,0.0,0.0,0.0,1.0
5176,Mohanad Aseri Abu Radiah,Saudi Arabia,12,0,0,2,1,0,0,0,2,0.0,0,0,0,1,1,0.0,6,0.0,0.0,6,1,0.0,0.0,0.0,0.0
5177,Aleksandr Golovin,Russia,158,23,10,112,1,11,6,5,9,0.0,14,4,0,3,7,0.0,135,0.0,0.0,140,4,0.0,0.0,0.0,2.0
5178,Salman Mohammed Al Faraj,Saudi Arabia,247,16,6,227,5,2,11,3,6,0.0,3,5,0,7,7,0.0,266,0.0,0.0,85,3,0.0,0.0,0.0,0.0
5179,Daler Kuzyaev,Russia,84,11,7,65,4,2,4,10,6,0.0,5,2,0,3,5,0.0,96,0.0,0.0,80,3,0.0,0.0,0.0,1.0
5180,Alan Dzagoev,Russia,24,0,1,11,0,1,0,0,0,0.0,0,1,0,0,0,0.0,21,0.0,0.0,15,2,0.0,0.0,0.0,0.0
5181,Yury Gazinskiy,Russia,95,15,5,89,7,1,0,1,4,0.0,6,2,0,1,1,0.0,126,0.0,0.0,68,2,0.0,0.0,0.0,0.0
5182,Aleksandr Samedov,Russia,159,20,4,119,1,4,6,5,9,0.0,9,7,0,5,6,0.0,155,0.0,0.0,94,2,0.0,0.0,0.0,0.0
5183,Yasir Gharsan Al Shahrani,Saudi Arabia,169,10,5,143,8,1,2,1,12,0.0,3,2,0,2,4,0.0,213,0.0,0.0,41,5,0.0,0.0,0.0,1.0
5184,Osama Abdulrezag Hawsawi,Saudi Arabia,96,10,7,93,6,0,0,4,10,0.0,3,4,0,3,0,0.0,132,0.0,0.0,34,0,0.0,0.0,0.0,0.0
5185,Taisir Jabir Al Jassim,Saudi Arabia,74,3,2,65,1,3,3,0,3,0.0,4,1,0,1,2,0.0,68,1.0,1.0,13,0,0.0,0.0,0.0,1.0
5186,Denis Cheryshev,Russia,107,8,10,72,1,4,7,4,7,1.0,7,1,0,3,5,1.0,92,0.0,0.0,92,14,0.0,0.0,1.0,0.0
5187,Salem Mohammed Al Dawsari,Saudi Arabia,196,19,5,190,0,9,19,1,9,0.0,4,10,0,6,7,0.0,164,0.0,0.0,51,7,0.0,0.0,0.0,0.0
5188,Hattan Babhir,Saudi Arabia,80,8,0,63,0,0,6,2,1,0.0,2,1,0,2,2,0.0,69,0.0,0.0,37,6,0.0,0.0,0.0,0.0
5189,Abdullah Ibrahim Al Maiouf,Saudi Arabia,19,4,0,19,0,0,0,0,0,0.0,0,0,16,0,0,0.0,35,0.0,0.0,0,0,0.0,0.0,0.0,0.0
5190,Fahad Mosaed Al Muwallad Al Harbi,Saudi Arabia,80,5,1,36,0,3,5,1,3,0.0,5,2,0,1,9,0.0,22,1.0,1.0,39,2,0.0,0.0,0.0,0.0
5191,Mohammed Al Burayk,Saudi Arabia,211,6,7,183,2,1,1,4,13,0.0,0,8,0,7,6,0.0,238,0.0,0.0,42,3,0.0,0.0,0.0,0.0
5192,Yehya Sulaiman Ali Al-Shehri,Saudi Arabia,58,5,3,54,0,2,3,1,1,0.0,0,1,0,1,2,0.0,60,0.0,0.0,15,0,0.0,0.0,0.0,1.0
